"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
2378,"Working full time","Married",1,36,14,NA,NA,15,"LT High school","Male","Black","Yes","Both in U.S.",0,NA,NA,"Slightly liberal","Favor","No","Pretty happy","Pretty happy","No",NA,NA,NA,"Africa","Africa",NA,NA,"A great deal",NA,"A great deal","A great deal","A great deal","A great deal","35 to 44","1-2","No","No","No","No","No","German","American",NA
2379,"Keeping house","Widowed",8,89,2,0,3,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$4000 TO 4999",NA,"Moderate","Favor","Yes","Very happy",NA,"No","Never",1,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","5 or more","No","No","No","Yes","Yes","Japanese",NA,NA
2380,"Working full time","Never married",0,38,12,14,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose","Yes","Pretty happy",NA,NA,"Few times a week",2,NA,"France","France",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Only some","35 to 44","None","No","No","No","Yes","Yes","American","American","American"
2381,"Retired","Separated",3,65,13,12,4,NA,"High school","Male","White","Yes","Both in U.S.",0,"$15000 - 19999",NA,"Conservative","Oppose","Yes","Pretty happy",NA,NA,"Every day",2,NA,"France","France",NA,NA,"Only some","Hardly any","Only some","Only some","Only some","Only some","65 or older","3-4","Yes","No","No","No","No","American",NA,NA
2382,"Working full time","Married",2,38,14,NA,6,13,"High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Very happy","Yes","Every day",4,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","Yes","No","Yes","No","No","American",NA,NA
2383,"Working full time","Married",5,51,13,8,6,14,"High school","Female","White","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor",NA,"Pretty happy","Very happy","Yes","Few times a week",1,"Other pay rate","France","France",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","5 or more","No","No","No","Yes","Yes","Other","American","Korean"
2384,"Working full time","Married",2,52,11,NA,9,10,"High school","Female","White","Yes","Mother only",2,NA,NA,"Slightly liberal","Favor",NA,"Pretty happy","Very happy","Yes",NA,NA,"Other pay rate","Germany","Germany",NA,NA,"A great deal","A great deal","A great deal","Only some","Only some","Only some","45 to 54","1-2","No","No","No","No","No","German","American","American"
2385,"Working full time","Divorced",2,51,12,16,12,NA,"High school","Female","White","Yes","Both in U.S.",1,"$10000 - 14999","$10000 - 14999","Extremely liberal","Favor",NA,"Very happy",NA,"Yes",NA,NA,"Hourly wage",NA,NA,NA,NA,"Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","Hardly any","45 to 54","1-2","No","No","No","No","No","American","Swedish","American"
2386,"Keeping house","Married",3,30,12,NA,7,12,"High school","Female","White","Yes","Both in U.S.",NA,"$20000 - 24999",NA,"Moderate","Favor","Yes","Pretty happy","Very happy","Yes","Few times a week",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","3-4","No","No","No","Yes","Yes","American","American",NA
2387,"Working full time","Divorced",2,39,12,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Liberal","Favor","Yes","Pretty happy",NA,"Yes",NA,3,NA,"Germany","Germany",NA,NA,"Only some","Only some","A great deal","Only some","A great deal","Only some","35 to 44","1-2","No","No","Yes","No","No","American","German","Japanese"
2388,"Working part-time","Married",4,42,12,8,8,18,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Slightly liberal","Favor","Yes","Pretty happy","Very happy",NA,"Once a week",4,"Hourly wage","England and Wales","England and Wales",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","35 to 44","3-4","No","Yes","Yes","No","Yes","Korean",NA,NA
2389,"Working full time","Divorced",3,43,9,NA,9,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$15000 - 19999","$10000 - 14999","Liberal","Favor","Yes","Pretty happy",NA,"No","Few times a week",2,"Hourly wage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","No","No","Yes","Yes","American","Korean","Swedish"
2390,"Retired","Married",5,64,15,NA,NA,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Moderate","Favor","Yes","Very happy","Very happy","Yes","Every day",4,NA,"American only","Germany","England and Wales","Ireland",NA,NA,NA,NA,NA,NA,"55 to 64","5 or more","Yes","No","Yes","No","No","Korean","Korean",NA
2391,"Keeping house","Married",2,62,10,8,8,8,"LT High school","Female","White","Yes","Both in U.S.",0,"$15000 - 19999",NA,"Moderate","Favor",NA,"Very happy","Very happy","Yes",NA,NA,NA,"American Indian","American Indian",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","55 to 64","1-2","No","No","No","No","No","American","Japanese","Swedish"
2392,"Working full time","Never married",0,50,20,16,15,NA,"Bachelor","Male","White","Yes","Both in U.S.",3,"$25000 or more","$25000 or more","Moderate",NA,NA,"Pretty happy",NA,NA,"Every day",2,"Monthly salary","Czechoslovakia","Czechoslovakia",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","45 to 54","None","Yes","No","No","No","No","Japanese",NA,NA
2393,"Working full time","Married",1,33,12,16,16,12,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Very happy",NA,"Every day",10,NA,"France","France",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Only some","25 to 34","1-2","Yes","No","Yes","No","No","Japanese","American","German"
2394,"Working full time","Married",3,42,12,11,12,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Favor","Yes","Pretty happy","Pretty happy",NA,"Never",4,"Hourly wage","Ireland","Ireland",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Only some","35 to 44","3-4","No","No","Yes","No","Yes","Korean","Swedish","American"
2395,"Working full time","Divorced",3,49,12,8,8,NA,"High school","Female","White","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Moderate","Oppose","Yes","Pretty happy",NA,"Yes","Once a week",0,"Hourly wage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","3-4","No","Yes","No","Yes","Yes","American","American",NA
2396,"Temporarily not working","Married",1,44,19,12,16,12,"Graduate","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Pretty happy","Very happy","No",NA,NA,NA,"Sweden","Sweden",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","35 to 44","1-2","No","No","No","No","No","German",NA,NA
2397,"Working full time","Married",3,39,9,NA,NA,12,"LT High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Slightly liberal",NA,NA,"Pretty happy","Not too happy","Yes",NA,NA,"Weekly wage","Germany","Germany",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Hardly any","35 to 44","3-4","No","No","No","No","No","Swedish","American","American"
2398,"Working full time","Married",3,38,11,12,10,10,"High school","Male","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Pretty happy","Yes","Every day",2,"Other pay rate","Other","Other",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","Yes","No","No","No","No","American","American","Japanese"
2399,"Working part-time","Married",2,47,10,NA,NA,12,"LT High school","Male","White","Yes","Both in U.S.",NA,"$10000 - 14999","$10000 - 14999","Slightly liberal","Favor","No","Pretty happy","Very happy",NA,"Once a week",8,NA,"Other Canada","Other Canada",NA,NA,"Only some","Only some","Only some",NA,NA,NA,"45 to 54","1-2","No","Yes","Yes","No","No","German","American","Swedish"
2400,"Working full time","Never married",0,25,12,16,19,NA,"High school","Male","White","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Moderate","Favor",NA,"Not too happy",NA,"No",NA,4,"Hourly wage","Germany","Germany",NA,NA,"Only some","Only some","Only some","Only some","Only some","Hardly any","25 to 34","None","No","No","Yes","No","No","Korean","German",NA
2401,"Working full time","Divorced",3,32,12,9,9,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy",NA,"No","Few times a week",2,"Hourly wage","England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","3-4","No","No","No","Yes","Yes","Korean","German","German"
2402,"Retired","Married",8,77,9,8,8,13,"High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999","$15000 - 19999","Slightly liberal","Oppose","Yes","Very happy","Very happy",NA,"Every day",2,NA,"Germany","Germany",NA,NA,"Only some","Only some","Only some","Hardly any","Hardly any","Only some","65 or older","5 or more","Yes","No","No","No","No","American","Japanese",NA
2403,"Keeping house","Married",2,33,17,16,18,12,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Slightly liberal","Favor",NA,"Pretty happy","Pretty happy","No",NA,1,NA,"England and Wales","England and Wales",NA,NA,"Only some","Only some","Only some","Only some","Only some","Hardly any","25 to 34","1-2","No","No","No","No","No","Korean","Japanese",NA
2404,"Working part-time","Married",2,28,16,12,14,16,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Very happy",NA,"Every day",2,"Annual salary","Germany","Germany",NA,NA,"A great deal","A great deal","A great deal","Only some","A great deal","Hardly any","25 to 34","1-2","Yes","No","No","No","No","Japanese","Korean","Japanese"
2405,"Working full time","Married",3,49,12,6,5,10,"High school","Female","Other","Yes","Mother only",4,"$25000 or more","$25000 or more","Moderate",NA,NA,"Pretty happy","Pretty happy","Yes","Once a week",4,NA,"Mexico","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","3-4","No","Yes","Yes","No","Yes","American",NA,NA
2406,"Working part-time","Married",2,36,13,NA,12,12,"High school","Female","White","Yes","Both in U.S.",3,"$25000 or more","$10000 - 14999","Conservative","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Hourly wage","Netherlands","Netherlands",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Hardly any","35 to 44","1-2","No","No","No","No","No","American","American","Japanese"
2407,"Unemployed, laid off","Married",2,65,11,NA,NA,12,"LT High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more",NA,NA,"Yes","Very happy","Very happy","No",NA,5,NA,"Ireland","England and Wales","Ireland",NA,"Only some","Only some","A great deal","Hardly any","A great deal","Hardly any","65 or older","1-2","No","No","Yes","No","No","Swedish","American","American"
2408,"Keeping house","Married",4,31,12,9,12,12,"High school","Female","White","Yes","Both in U.S.",4,"$25000 or more","$15000 - 19999","Conservative","Oppose",NA,"Very happy","Very happy","No",NA,NA,NA,"Netherlands","Netherlands",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Hardly any","25 to 34","3-4","No","No","No","No","No","Other","American","American"
2409,"Working part-time","Married",3,29,14,13,14,20,"Junior college","Female","White","Yes","Both in U.S.",4,"$25000 or more",NA,"Slightly conservative","Oppose","Yes","Very happy","Very happy","Yes",NA,0,NA,"Germany","Germany","Sweden",NA,"Only some","A great deal","A great deal","Hardly any","Only some","Hardly any","25 to 34","3-4","No","No","No","No","No","American","German","Japanese"
2410,"Working full time","Married",2,42,12,8,8,14,"High school","Male","White","Yes","Mother only",4,NA,"$25000 or more","Conservative","Favor","No","Pretty happy","Very happy",NA,"Once a week",2,"Hourly wage","Netherlands","Netherlands",NA,NA,"Only some","Only some","Only some","Hardly any","A great deal","Only some","35 to 44","1-2","No","Yes","No","Yes","Yes","Japanese","Japanese",NA
2411,"Working full time","Married",0,39,15,12,12,14,"Junior college","Female","White","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Very happy","No","Few times a week",1,"Hourly wage","Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","None","No","No","No","Yes","Yes","Japanese","Swedish",NA
2412,"Working full time","Married",4,42,12,14,12,12,"High school","Female","White","Yes","Both in U.S.",1,"$25000 or more","$6000 TO 6999","Conservative","Oppose","Yes","Very happy","Very happy","Yes","Less than once a week",2,"Hourly wage","Netherlands","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","No","No","Yes","Yes","Other","Japanese","American"
2413,"Working full time","Married",1,32,13,NA,12,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Slightly conservative","Favor","No","Pretty happy","Pretty happy","Yes","Never",2,"Weekly wage","Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","No","Yes","Yes","Japanese",NA,NA
2414,"Keeping house","Married",2,27,12,12,12,12,"High school","Female","White","Yes","Both in U.S.",2,"$25000 or more",NA,"Moderate","Favor","Yes","Pretty happy","Very happy","No","Once a week",5,NA,"Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","Yes","No","No","Japanese","Japanese","Korean"
2415,"Working full time","Never married",0,45,13,8,12,NA,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$10000 - 14999","Slightly conservative","Favor","Yes","Pretty happy",NA,NA,"Once a week",1,"Hourly wage","Netherlands","Netherlands",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","45 to 54","None","No","Yes","No","Yes","Yes","American",NA,NA
2416,"Keeping house","Married",3,25,12,14,12,15,"High school","Female","White","Yes","Both in U.S.",4,"$8000 TO 9999",NA,"Moderate","Favor","Yes","Pretty happy","Very happy",NA,"Never",3,NA,"Netherlands","Netherlands",NA,NA,"Only some","Hardly any","Hardly any","Only some","Hardly any","Hardly any","25 to 34","3-4","No","No","Yes","No","Yes","German","Other","German"
2417,"Retired","Married",4,66,20,8,8,16,"Graduate","Male","White","Yes","Both in U.S.",2,"$25000 or more",NA,"Conservative","Favor","Yes","Very happy","Pretty happy","Yes",NA,2,NA,"Germany","Germany",NA,NA,"Only some","A great deal","Only some","Hardly any","Only some","Hardly any","65 or older","3-4","No","No","No","No","No","American","German","German"
2418,"Working full time","Married",0,41,12,12,8,16,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Moderate","Favor",NA,"Very happy","Pretty happy",NA,"Every day",3,"Hourly wage","Sweden","Sweden","Germany","Norway","Only some","A great deal","Only some","Hardly any","Only some","Hardly any","35 to 44","None","Yes","No","Yes","No","No","Swedish","American","Japanese"
2419,"Working full time","Married",4,41,14,8,16,12,"High school","Female","White","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Pretty happy","Pretty happy","Yes",NA,NA,"Hourly wage","Sweden","Germany","Sweden","Norway","Only some","Only some","Only some","Only some","Hardly any","Only some","35 to 44","3-4","No","No","No","No","No","American","German",NA
2420,"Working full time","Married",2,33,14,20,16,13,"Junior college","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Pretty happy","Pretty happy","Yes","Once a week",2,"Hourly wage","Czechoslovakia","Czechoslovakia",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","No","Yes","Yes","American",NA,NA
2421,"Retired","Widowed",4,73,12,8,12,NA,"High school","Male","White","Yes","Both in U.S.",4,"$25000 or more",NA,"Moderate","Favor","No","Very happy",NA,NA,"Every day",1,NA,"Germany","Germany",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","65 or older","3-4","Yes","No","No","No","No","Japanese","Japanese","American"
2422,"Retired","Divorced",6,70,10,NA,NA,NA,"High school","Male","White","Yes","Neither in U.S.",4,"$10000 - 14999",NA,"Liberal","Favor","Yes","Very happy",NA,"Yes",NA,5,NA,"Austria","Austria",NA,NA,"A great deal","A great deal","Hardly any","Hardly any","A great deal","Hardly any","65 or older","5 or more","No","No","Yes","No","No","American","Other","Korean"
2423,"Working part-time","Married",3,52,13,7,8,14,"Junior college","Female","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Very happy","Very happy","Yes",NA,NA,"Hourly wage","Netherlands","Netherlands",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","45 to 54","3-4","No","No","No","No","No","American",NA,NA
2424,"Working full time","Married",5,59,7,8,8,12,"LT High school","Male","White","Yes","Father only",NA,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Pretty happy","Yes",NA,1,NA,"Sweden","Sweden",NA,NA,"Only some",NA,NA,NA,"A great deal","Hardly any","55 to 64","5 or more","No","No","No","No","No","German",NA,NA
2425,"Retired","Married",4,73,12,NA,NA,12,"High school","Male","White","Yes","Mother only",2,"$20000 - 24999",NA,"Moderate","Favor","Yes","Very happy","Very happy",NA,"Every day",3,NA,"Netherlands","Netherlands",NA,NA,"A great deal","A great deal","Only some","Only some","A great deal","Hardly any","65 or older","3-4","Yes","No","Yes","No","No","American","Korean","American"
2426,"Working full time","Married",0,25,14,12,9,12,"Junior college","Female","White","Yes","Both in U.S.",0,NA,NA,"Slightly conservative","Favor","No","Very happy","Very happy",NA,"Every day",2,NA,"Sweden","Poland","Germany","Sweden","A great deal","Only some","A great deal","Only some","A great deal","Only some","25 to 34","None","Yes","No","No","No","No","German",NA,NA
2427,"Retired","Married",6,76,8,6,NA,12,"LT High school","Male","White","Yes","Both in U.S.",2,"$10000 - 14999",NA,"Moderate","Oppose","Yes","Pretty happy","Pretty happy","Yes","Few times a week",4,NA,"Sweden","Norway","Sweden","France",NA,NA,NA,NA,NA,NA,"65 or older","5 or more","No","No","Yes","No","Yes","Korean","German","American"
2428,"Keeping house","Married",4,75,13,NA,NA,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Conservative","Favor","Yes","Very happy","Very happy",NA,"Every day",3,NA,"Ireland","Ireland",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","65 or older","3-4","Yes","No","Yes","No","No","Other","American","American"
2429,"Working full time","Divorced",0,52,18,12,12,NA,"Graduate","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Very happy",NA,"Yes",NA,0,"Annual salary","American Indian","American Indian","Ireland",NA,"Only some","A great deal","Only some","Hardly any","A great deal","Hardly any","45 to 54","None","No","No","No","No","No","German","Japanese","American"
2430,"Working full time","Married",3,45,13,18,NA,18,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Moderate","Favor","Yes","Pretty happy","Very happy","No","Never",1,NA,NA,"Ireland","England and Wales","American Indian",NA,NA,NA,NA,NA,NA,"45 to 54","3-4","No","No","No","Yes","Yes","American","American","American"
2431,"Working full time","Married",2,30,14,12,14,14,"Junior college","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","No","Very happy","Very happy",NA,"Every day",1,NA,"France","France",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Only some","25 to 34","1-2","Yes","No","No","No","No","Japanese","American","American"
2432,"Working full time","Married",3,40,12,NA,12,14,"High school","Male","Black","Yes","Both in U.S.",0,"$15000 - 19999","$10000 - 14999","Moderate","Oppose",NA,"Pretty happy","Very happy","No",NA,NA,"Weekly wage","Africa","Africa",NA,NA,"Only some","Hardly any","Hardly any","Hardly any","A great deal","Only some","35 to 44","3-4","No","No","No","No","No","American",NA,NA
2433,"Working full time","Never married",3,25,12,NA,9,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Moderate","Oppose","Yes","Not too happy",NA,"No","Every day",2,"Weekly wage","Puerto Rico","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","3-4","Yes","No","No","No","No","American","American",NA
2434,"Working part-time","Never married",3,35,12,NA,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,NA,"LT $1000","Moderate","Favor","No","Pretty happy",NA,"No","Few times a week",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","No","Yes","No","Yes","Japanese",NA,NA
2435,"Working full time","Divorced",7,26,12,NA,9,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$8000 TO 9999","$7000 TO 7999","Conservative","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage",NA,NA,NA,NA,"Only some",NA,"A great deal","Only some","A great deal","Only some","25 to 34","5 or more","No","No","No","No","No","German",NA,NA
2436,"Working full time","Never married",0,26,14,14,14,NA,"Junior college","Male","White","Yes","Both in U.S.",0,"$7000 TO 7999","$7000 TO 7999","Liberal","Favor",NA,"Very happy",NA,"Yes",NA,NA,"Daily wage","American Indian","American Indian",NA,NA,"Hardly any","Only some","Only some","Hardly any","A great deal","Only some","25 to 34","None","No","No","No","No","No","American",NA,NA
2437,"Working part-time","Married",8,65,12,3,10,11,"High school","Male","White","Yes","Both in U.S.",0,"$10000 - 14999","$8000 TO 9999","Moderate","Favor","No","Very happy","Very happy",NA,"Once a week",4,"Hourly wage",NA,NA,NA,NA,"A great deal","Only some","A great deal","Hardly any","Hardly any","A great deal","65 or older","5 or more","No","Yes","Yes","No","Yes","German","American","Other"
2438,"Working full time","Married",1,24,12,12,14,13,"High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999",NA,"Favor","Yes","Very happy","Very happy","No",NA,5,NA,"Ireland","Ireland","American Indian",NA,"A great deal","Only some","Only some","Hardly any","A great deal","Only some","Less than 25","1-2","No","No","Yes","No","No","German","American","American"
2439,"Working full time","Married",6,46,9,7,12,9,"High school","Male","White","Yes","Both in U.S.",0,"$15000 - 19999","LT $1000","Slightly conservative","Oppose","Yes","Not too happy","Pretty happy",NA,"Once a week",3,NA,NA,"Ireland","American Indian",NA,"Hardly any","Only some","Only some","Only some","Only some","Hardly any","45 to 54","5 or more","No","Yes","Yes","No","Yes","American","American","Korean"
2440,"Working full time","Divorced",1,45,10,16,12,NA,"LT High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999",NA,"Favor","Yes","Not too happy",NA,NA,"Once a week",1,"Weekly wage",NA,"Italy","American Indian",NA,"Hardly any","A great deal","Only some","A great deal","A great deal","A great deal","45 to 54","1-2","No","Yes","No","Yes","Yes","American","American","American"
2441,"Working full time","Married",2,47,13,12,12,12,"High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999","$15000 - 19999","Moderate","Favor","Yes","Pretty happy","Pretty happy","Yes",NA,3,"Weekly wage","Ireland","Ireland",NA,NA,"A great deal","Only some","Only some","Only some","Only some","Hardly any","45 to 54","1-2","No","No","Yes","No","No","American","German","Other"
2442,"Working full time","Never married",0,22,12,NA,NA,NA,"High school","Male","White","Yes","Both in U.S.",NA,NA,"$20000 - 24999","Slightly conservative","Favor","Yes","Pretty happy",NA,"Yes","Less than once a week",2,"Weekly wage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","No","No","No","Yes","Yes","Japanese","Japanese","American"
2443,"Temporarily not working","Divorced",4,55,20,6,18,NA,"Graduate","Female","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly conservative","Oppose","Yes","Very happy",NA,"Yes","Every day",1,NA,"Italy","Germany","Italy","England and Wales",NA,NA,NA,NA,NA,NA,"55 to 64","3-4","Yes","No","No","No","No","American","Other","Other"
2444,"Working full time","Married",2,37,12,NA,NA,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate","Favor","No","Pretty happy","Very happy","Yes","Once a week",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","Yes","Yes","No","Yes","Japanese",NA,NA
2445,"Working full time","Never married",0,36,14,14,10,NA,"Junior college","Male","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Conservative","Favor",NA,"Pretty happy",NA,"Yes",NA,NA,"Hourly wage","Germany","Ireland","Germany","American Indian","A great deal","A great deal","A great deal","Hardly any","A great deal","Only some","35 to 44","None","No","No","No","No","No","Japanese",NA,NA
2446,"Working full time","Married",2,38,16,NA,10,16,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Very happy","Pretty happy",NA,"Once a week",2,"Annual salary",NA,"Ireland","England and Wales","American Indian","Only some","Only some","Hardly any","Only some","Only some","Only some","35 to 44","1-2","No","Yes","No","Yes","Yes","Japanese",NA,NA
2447,"Working full time","Married",1,36,12,7,12,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Extremely conservative","Favor","Yes","Very happy","Very happy","Yes",NA,0,NA,"England and Wales","England and Wales",NA,NA,"A great deal","Hardly any","Hardly any","Only some","A great deal","Hardly any","35 to 44","1-2","No","No","No","No","No","American","German","Japanese"
2448,"Working full time","Never married",0,18,10,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$6000 TO 6999","Slightly liberal","Favor","Yes","Pretty happy",NA,"Yes",NA,4,"Hourly wage",NA,NA,NA,NA,"A great deal","A great deal","A great deal","Only some","A great deal","Hardly any","Less than 25","None","No","No","Yes","No","No","American","Japanese","American"
2449,"Working full time","Never married",0,50,12,8,8,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor",NA,"Not too happy",NA,"Yes",NA,NA,"Hourly wage",NA,NA,NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Only some","45 to 54","None","No","No","No","No","No","American","American","Korean"
2450,"Working full time","Never married",1,41,15,8,15,NA,"Junior college","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Not too happy",NA,"Yes",NA,2,NA,"American Indian","American Indian","England and Wales",NA,"Only some","Only some","Only some","Only some","Only some","Only some","35 to 44","1-2","No","No","No","No","No","American",NA,NA
2451,"Retired","Married",0,36,13,8,17,12,"High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999",NA,"Liberal","Favor",NA,"Pretty happy","Very happy","Yes","Once a week",0,NA,"England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","None","No","Yes","No","Yes","Yes","German","American",NA
2452,"Retired","Widowed",6,75,9,NA,NA,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$4000 TO 4999",NA,"Moderate","Favor","Yes","Pretty happy",NA,NA,"Every day",3,NA,NA,NA,NA,NA,"A great deal","Hardly any","A great deal","Hardly any","A great deal","Hardly any","65 or older","5 or more","Yes","No","Yes","No","No","American",NA,NA
2453,"Working full time","Married",2,35,12,12,8,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$6000 TO 6999","Moderate","Favor","Yes","Pretty happy","Very happy","Yes","Few times a week",1,"Other pay rate","Netherlands","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","No","Yes","Yes","American","Japanese",NA
2454,"Keeping house","Married",0,49,10,8,9,12,"High school","Female","White","Yes","Both in U.S.",0,"$7000 TO 7999",NA,"Slightly liberal","Favor","Yes","Very happy","Very happy","Yes","Less than once a week",4,NA,"American Indian","American Indian","Ireland",NA,NA,NA,NA,NA,NA,NA,"45 to 54","None","No","No","Yes","No","Yes","American","American","Other"
